id`remark`type`farmland_type`order`last_id`next_id`icon`name`desc`parm_show`parm`buy_cost_coin`unlock_villa_level`unlock_position_id
int`string`int`int`int`int`int`string`int`int`int`string`string`int`int
1`玉米`2`1`1`-1`2`icon/yumi.png`801110`801121`3` 3 ` 250000 `1`1
2`茄子`2`2`2`-1`3`icon/qiezi.png`801111`801122`3` 3 ` 500000 `1`1
3`棉花`2`3`3`-1`4`icon/mianhua.png`801112`801123`3` 3 ` 1000000 `1`1
4`玫瑰`2`4`4`-1`5`icon/meigui.png`801113`801124`3` 3 ` 5000000 `1`1
5`葫芦`2`5`5`-1`6`icon/hulu.png`801114`801125`3` 3 ` 10000000 `1`1
6`西红柿`2`6`6`-1`7`icon/xihongshi.png`801115`801126`3` 3 ` 25000000 `1`1
7`南瓜`2`7`7`-1`8`icon/nangua.png`801116`801127`3` 3 ` 500000000 `1`1
8`草莓`2`8`8`-1`9`icon/caomei.png`801117`801128`3` 3 ` 10000000000 `1`1
9`西瓜`2`9`9`-1`10`icon/xigua.png`801118`801129`3` 3 ` 50000000000 `1`1
10`橙子`2`10`10`-1`11`icon/chengzi.png`801119`801130`3` 3 ` 250000000000 `1`1
11`全部加成`1`-1`11`-1`12`icon/science_box.png`801109`801120`3` 3 ` 1000000000000 `1`1
12`玉米`2`1`12`-1`13`icon/yumi.png`801110`801121`3` 9 ` 20000000000000 `1`1
13`茄子`2`2`13`-1`14`icon/qiezi.png`801111`801122`3` 9 ` 50000000000000 `1`1
14`棉花`2`3`14`-1`15`icon/mianhua.png`801112`801123`3` 9 ` 100000000000000 `1`1
15`玫瑰`2`4`15`-1`16`icon/meigui.png`801113`801124`3` 9 ` 500000000000000 `1`1
16`葫芦`2`5`16`-1`17`icon/hulu.png`801114`801125`3` 9 ` 1000000000000000 `1`1
17`西红柿`2`6`17`-1`18`icon/xihongshi.png`801115`801126`3` 9 ` 2500000000000000 `1`1
18`南瓜`2`7`18`-1`19`icon/nangua.png`801116`801127`3` 9 ` 5000000000000000 `1`1
19`草莓`2`8`19`-1`20`icon/caomei.png`801117`801128`3` 9 ` 7000000000000000 `1`1
20`西瓜`2`9`20`-1`21`icon/xigua.png`801118`801129`3` 9 ` 10000000000000000 `1`1
21`橙子`2`10`21`-1`22`icon/chengzi.png`801119`801130`3` 9 ` 20000000000000000 `1`1
22`全部加成`1`-1`22`-1`23`icon/science_box.png`801109`801120`3` 9 ` 50000000000000000 `1`1
23`玉米`2`1`23`-1`24`icon/yumi.png`801110`801121`3` 27 ` 2000000000000000000 `1`1
24`茄子`2`2`24`-1`25`icon/qiezi.png`801111`801122`3` 27 ` 5000000000000000000 `1`1
25`棉花`2`3`25`-1`26`icon/mianhua.png`801112`801123`3` 27 ` 7000000000000000000 `1`1
26`玫瑰`2`4`26`-1`27`icon/meigui.png`801113`801124`3` 27 ` 10000000000000000000 `1`1
27`葫芦`2`5`27`-1`28`icon/hulu.png`801114`801125`3` 27 ` 20000000000000000000 `1`1
28`西红柿`2`6`28`-1`29`icon/xihongshi.png`801115`801126`3` 27 ` 35000000000000000000 `1`1
29`南瓜`2`7`29`-1`30`icon/nangua.png`801116`801127`3` 27 ` 50000000000000000000 `1`1
30`草莓`2`8`30`-1`31`icon/caomei.png`801117`801128`3` 27 ` 75000000000000000000 `1`1
31`西瓜`2`9`31`-1`32`icon/xigua.png`801118`801129`3` 27 ` 100000000000000000000 `1`1
