id`remark`type`star`maxlevel`extra_level`icon`animation`produce_time`speed_or_produce_multiple`speed_up_multiple`produce_multiple`multiple`produce`store`levelup_cost`levelup_exp`produce_special`unlock_villa_level`steal_cd_time`share_prize
int`string`int`int`int`int`string`string`int`int`int`int`string`string`int`string`int`string`int`int`int
100``1`1`25`0`icon/yumi.png`fm_yumi.db`700`1`2`2`1`0;1;1;0`3600`0;4;1.07;0`1`601;100`1`1800`-1
101``1`2`25`0`icon/yumi.png`fm_yumi.db`350`1`2`2`1`0;1;1;0`7200`0;4;1.07;0`2`601;100`1`1800`-1
102``1`3`50`0`icon/yumi.png`fm_yumi.db`175`1`2`2`1`0;1;1;0`10800`0;4;1.07;0`3`601;100`2`1800`-1
103``1`4`100`0`icon/yumi.png`fm_yumi.db`87`1`2`2`1`0;1;1;0`14400`0;4;1.07;0`4`601;100`3`1800`-1
104``1`5`100`0`icon/yumi.png`fm_yumi.db`43`1`2`2`1`0;1;1;0`18000`0;4;1.07;0`5`601;100`4`1800`-1
105``1`6`100`0`icon/yumi.png`fm_yumi.db`43`2`2`2`2`0;1;1;0`21600`0;4;1.07;0`6`601;100`5`1800`-1
106``1`7`100`0`icon/yumi.png`fm_yumi.db`43`2`2`2`4`0;1;1;0`25200`0;4;1.07;0`7`601;100`6`1800`-1
107``1`8`100`0`icon/yumi.png`fm_yumi.db`43`2`4`4`16`0;1;1;0`28800`0;4;1.07;0`8`601;100`7`1800`-1
108``1`9`100`0`icon/yumi.png`fm_yumi.db`43`2`4`4`64`0;1;1;0`28800`0;4;1.07;0`9`601;100`8`1800`-1
109``1`10`100`0`icon/yumi.png`fm_yumi.db`43`2`4`4`256`0;1;1;0`28800`0;4;1.07;0`10`601;100`9`1800`-1
110``1`11`100`0`icon/yumi.png`fm_yumi.db`43`2`4`4`1024`0;1;1;0`28800`0;4;1.07;0`11`601;80`10`1800`-1
111``1`12`100`0`icon/yumi.png`fm_yumi.db`43`2`4`4`4096`0;1;1;0`28800`0;4;1.07;0`12`601;80`11`1800`-1
112``1`13`100`0`icon/yumi.png`fm_yumi.db`43`2`5`5`20480`0;1;1;0`28800`0;4;1.07;0`13`601;80`12`1800`-1
113``1`14`100`0`icon/yumi.png`fm_yumi.db`43`2`4`4`81920`0;1;1;0`28800`0;4;1.07;0`14`601;80`13`1800`-1
114``1`15`100`0`icon/yumi.png`fm_yumi.db`43`2`4`4`327680`0;1;1;0`28800`0;4;1.07;0`15`601;80`14`1800`-1
115``1`16`100`0`icon/yumi.png`fm_yumi.db`43`2`4`4`1310720`0;1;1;0`28800`0;4;1.07;0`16`601;60`15`1800`-1
